Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N2.15,N2.15,,5,9,1,1,0,0,0,0,0,0,0
N2.15,N2.15,,6,2,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,6,4,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,6,6,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,6,8,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,6,10,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,7,1,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,7,3,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,7,5,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,7,7,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,7,9,1,1,0,0,0,0,0,0,0
N2.15,N2.15,,8,2,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,8,4,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,8,6,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,8,8,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,8,10,1,1,0,0,0,0,0,0,0
N2.15,N2.15,,9,1,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,9,3,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,9,5,1,1,0,0,0,0,0,0,0
N2.15,N2.15,,9,7,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,9,9,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,10,2,0,0,0,0,0,0,0,0,0
N2.15,N2.15,,10,4,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,10,6,1,0,0,0,0,0,0,0,0
N2.15,N2.15,,10,8,1,1,0,0,1,0,0,0,0
N2.15,N2.15,,10,10,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,1,1,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,1,3,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,1,5,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,1,7,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,1,9,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,2,2,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,2,4,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,2,6,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,2,8,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,2,10,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,3,1,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,3,3,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,3,5,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,3,7,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,3,9,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,4,2,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,4,4,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,4,6,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,4,8,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,4,10,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,5,1,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,5,3,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,5,5,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,5,7,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,5,9,1,0,0,0,0,0,0,0,0
